tituloProduto,preco,descricao,imgProduto,catProduto,classProduto,exibirHome
Mala de Ferramentas,55,Mala de ferramentas com 150 peças.,c:\images\Mala de Ferramentas.jpg,Ferramentas Elétricas,Novo,True
Guilhotina,120,Guilhotina manual para papel e cartolina.,c:\images\Guilhotina.jpg,Ferramentas Manuais,Novo,True
Bomba de Vácuo,200,Bomba de vácuo para uso doméstico.,c:\images\Bomba de Vácuo.jpg,Ferramentas Manuais,Novo,True
Estilete,90,Estilete com lâminas de reposição.,c:\images\Estilete.jpg,Ferramentas Manuais,Novo,True
Chave Allen,70,"Chave Allen em conjunto, 10 peças.",c:\images\Chave Allen.jpg,Ferramentas Manuais,Novo,True
Rosqueadeira,85,Rosqueadeira para tubos de PVC.,c:\images\Rosqueadeira.jpg,Ferramentas Manuais,Novo,True
Saca-rolhas,100,Saca-rolhas manual com cortador de lacre.,c:\images\Saca-rolhas.jpg,Ferramentas Manuais,Novo,True
Desempenadeira,60,Desempenadeira de aço inox.,c:\images\Desempenadeira.jpg,Ferramentas Manuais,Novo,True
Rebitador,75,Rebitador manual para chapas de metal.,c:\images\Rebitador.jpg,Ferramentas Elétricas,Novo,True
Estante de Ferramentas,90,"Estante de ferramentas em metal, 3 prateleiras.",c:\images\Estante de Ferramentas.jpg,Ferramentas Elétricas,Novo,True
Cinta Métrica,130,Cinta métrica de 10 metros com clipe para bolso.,c:\images\Cinta Métrica.jpg,Ferramentas Elétricas,Novo,True
Mecanismo de Fechadura,150,Mecanismo de fechadura de alta segurança.,c:\images\Mecanismo de Fechadura.jpg,Ferramentas Elétricas,Novo,True
Pistola de Cola Quente,95,Pistola de cola quente com 20 bastões inclusos.,c:\images\Pistola de Cola Quente.jpg,Ferramentas Manuais,Novo,True
Régua de Alumínio,15,"Régua de alumínio, 1 metro.",c:\images\Régua de Alumínio.jpg,Ferramentas Manuais,Novo,True
Cortador de Papel,25,Cortador de papel com lâmina afiada.,c:\images\Cortador de Papel.jpg,Ferramentas Manuais,Novo,True
Caixa de Ferramentas,30,Caixa de ferramentas com divisórias.,c:\images\Caixa de Ferramentas.jpg,Ferramentas Manuais,Novo,True
Martelo de Borracha,35,"Martelo de borracha, ideal para montagem de móveis.",c:\images\Martelo de Borracha.jpg,Ferramentas Manuais,Novo,True
Parafuso,15,"Parafuso em aço, 100 peças.",c:\images\Parafuso.jpg,Ferramentas Manuais,Novo,True
Prego,20,"Prego em aço, 100 peças.",c:\images\Prego.jpg,Ferramentas Manuais,Novo,True
Serra de Madeira,100,Serra de madeira com lâmina de 18 polegadas.,c:\images\Serra de Madeira.jpg,Ferramentas Elétricas,Novo,True
Corta Cabos,45,Corta Cabos.,c:\images\Corta Cabos.jpg,Ferramentas Elétricas,Novo,True
